theater_name,theater_address,jibunAddress,theater_lat,theater_lon
CGV 창원더시티,경상남도 창원시 의창구 팔룡동 원이대로 320,경상남도 창원시 의창구 대원동 121 더시티세븐,35.2402387,128.6534296
CGV 통영,경상남도 통영시 북신동 원문로 27 월드지브이존,경상남도 통영시 북신동 698-1 월드지브이존,34.8572486,128.4255733
CGV 포항,"경상북도 포항시 남구 중흥로 77, 7층(상도동)",경상북도 포항시 남구 상도동 582 밸류플러스,36.0127407,129.3489248
CGV 광양,전라남도 광양시 금호동 624-12,전라남도 광양시 금호동 624-12,34.9353683,127.7220898
CGV 광양 엘에프스퀘어,전라남도 광양시 광양읍 덕례리 707,전라남도 광양시 광양읍 덕례리 707,34.9630258,127.5667066
CGV 광주금남로,광주광역시 동구 불로동 중앙로160번길 16-7,광주광역시 동구 불로동 1-21,35.1468139,126.9146622
CGV 광주상무,광주광역시 서구 치평동 1218-1,광주광역시 서구 치평동 1218-1 프리미엄아울렛,35.1542945,126.8510105
CGV 광주용봉,광주광역시 북구 용봉동 문화소통로 170,광주광역시 북구 용봉동 17-1 하미스포렉스,35.1824936,126.9120867
CGV 광주첨단,광주광역시 광산구 쌍암동 임방울대로826번길 2층,광주광역시 광산구 쌍암동 694-1,35.2172977,126.8490906
CGV 광주충장로,"광주 광역시 동구 충장로 4가 29-2, NC웨이브 11층",광주광역시 동구 충장로4가 29-2 NC 웨이브 충장점,35.1487762,126.9130789
CGV 광주터미널,광주광역시 서구 광천동 무진대로 904,광주광역시 서구 광천동 49-1 유스퀘어(광천터미널),35.1606026,126.8798481
CGV 광주하남,광주광역시 광산구 하남동 용아로400번길 30,광주광역시 광산구 하남동 832 TERRACE56  PICNICMALL,35.1780814,126.8064899
CGV 군산,전라북도 군산시 나운2동 백토로 166,전라북도 군산시 나운동 124-4 롯데시네마,35.9643185,126.7054883
CGV 나주,전라남도 나주시 빛가람동 203-3,전라남도 나주시 빛가람동 203-3 T.C.C복합타워,35.0239019,126.7930143
CGV 목포,전라남도 목포시 상동 892,전라남도 목포시 상동 892,34.8025043,126.4198674
CGV 목포평화광장,전라남도 목포시 상동 1129-6,전라남도 목포시 상동 1129-6 롯데시네마목포8,34.7993231,126.433214
