,theater_name,theater_address
112,CGV 청주터미널,충청북도 청주시 흥덕구 가경동 1416-3
113,CGV 충북혁신,충청북도 음성군 맹동면 동성리 500
114,CGV 홍성,충청남도 홍성군 홍성읍 고암리 1042
115,CGV 대구,
116,CGV 대구수성,대구광역시 수성구 범물동 1273 동아백화점 8층
117,CGV 대구스타디움,대구광역시 수성구 대흥동 유니버시아드로 140
118,CGV 대구아카데미,대구광역시 중구 남일동 중앙대로 412
119,CGV 대구월성,대구광역시 달서구 월성동 조암로 29
120,CGV 대구이시아,대구광역시 동구 봉무동 팔공로49길 16
121,CGV 대구칠곡,대구광역시 북구 동천동 894-1
122,CGV 대구한일,대구광역시 중구 성내1동 동성로 39
123,CGV 대구현대,대구광역시 중구 성내2동 달구벌대로 2077
124,CGV 남포,부산광역시 중구 남포동 비프광장로 18
125,CGV 대연,부산광역시 남구 대연3동 수영로 305
126,CGV 동래,부산광역시 동래구 온천동 중앙대로 1523
127,CGV 서면,
128,CGV 서면삼정타워,부산광역시 부산진구 부전2동 중앙대로 672
129,CGV 센텀시티,부산광역시 해운대구 우동 센텀남대로 35 신세계백화점센텀시티점 5F
130,CGV 아시아드,부산광역시 연제구 사직2동 종합운동장로 7
131,CGV 울산삼산,울산광역시 남구 삼산동 화합로 185
132,CGV 울산신천,울산광역시 북구 신천동 51
133,CGV 울산진장,울산광역시 북구 진장동 120-9
134,CGV 정관,부산광역시 기장군 정관면 정관중앙로 45
135,CGV 하단아트몰링,부산광역시 사하구 하단2동 낙동남로 1413
136,CGV 해운대,부산광역시 해운대구 우동 해운대로 620
137,CGV 화명,부산광역시 북구 화명동 화명대로 16
138,CINE de CHEF 센텀,
139,CGV 거제,경상남도 거제시 장평동 1211
140,CGV 구미,경상북도 구미시 원평동 69-4
141,CGV 김천율곡,경상북도 김천시 남면 옥산리 891
142,CGV 김해,
143,CGV 김해율하,경상남도 김해시 율하2로 111 KR
144,CGV 김해장유,경상남도 김해시 장유면 삼문로 12
145,CGV 마산,경상남도 창원시 마산회원구 합성동 126-4 보보스존 8층
146,CGV 북포항,경상북도 포항시 북구 중앙동 서동로 93
147,CGV 안동,경상북도 안동시 용상동 경동로 841
148,CGV 양산물금,경상남도 양산시 물금읍 백호로 68
149,CGV 양산삼호,경상남도 양산시 삼호동 1010-3
150,CGV 창원,
151,CGV 창원더시티,경상남도 창원시 의창구 팔룡동 원이대로 320
152,CGV 통영,경상남도 통영시 북신동 원문로 27 월드지브이존
153,CGV 포항,
154,CGV 광양,
155,CGV 광양 엘에프스퀘어,1544-1122
156,CGV 광주금남로,광주광역시 동구 불로동 중앙로160번길 16-7
157,CGV 광주상무,광주광역시 서구 치평동 1218-1
158,CGV 광주용봉,광주광역시 북구 용봉동 문화소통로 170
